reviewId,templateId,profileId,puzzleId,boardHash,structureHash,optimalSwipes,usesLanes,reviewer,device,browser,playedAt,attemptCount,clearCount,bestTimeMs,bestSwipeCount,enjoyment,clarity,difficulty,distinctiveness,fairness,knownDeadlocks,notes,decision,decisionReason
review-b08c3-t00-402e9bef02cd,b08c3-t00,b08c3,cand-b08c3-t00-402e9bef02cda12d,sha256:402e9bef02cda12d7f02725c016ae2aba055a04bfc5ae8cec2ad6755eec103b8,sha256:89f490ca185f07b270c396d22230760aeed18f939cf8b419c3507e02461ba372,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t01-198f2a5e47ef,b08c3-t01,b08c3,cand-b08c3-t01-198f2a5e47eff93d,sha256:198f2a5e47eff93d4af6db6122a3f9fc4b9d1cd2aebc4aff6478da1df5aede77,sha256:d2e7622c100031a341ba67c76036360e3cc00b1e273f82513fb50bc020476aac,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t02-56c443233108,b08c3-t02,b08c3,cand-b08c3-t02-56c44323310857f1,sha256:56c44323310857f14bf048d3c4011d3d07ddc4523026f709ce024bc77ab1c3ea,sha256:523a03ab841577d5354353dc24227f13e8e03b4e0de07294f5c96ec377bcb22d,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t03-ad4509d034ed,b08c3-t03,b08c3,cand-b08c3-t03-ad4509d034ed22a6,sha256:ad4509d034ed22a6fb71bfbeb5f183af19f15953b83e14b8af8936dd8734e3ad,sha256:9bd150f8620297ac2148c657b57d8378f1f7ba650cd1bb8b7bb0d1a97718401f,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t04-8675c4f59771,b08c3-t04,b08c3,cand-b08c3-t04-8675c4f597716e36,sha256:8675c4f597716e36e73625c0990ddab584fb82833056fe776c4d6aed94eb2399,sha256:9836d1ab55897197998f7bfc12db2278a4636d52c1e1eb0a6c65d4d5790d06f1,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t05-5c14a17d822f,b08c3-t05,b08c3,cand-b08c3-t05-5c14a17d822fa944,sha256:5c14a17d822fa94408fbd15361b905e9acef422534623903e5efe27e1048b355,sha256:f16446f35364df9a867563de275c6f3c58ade44856e3d6986e71f77456ac78b3,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t06-c4178023dc03,b08c3-t06,b08c3,cand-b08c3-t06-c4178023dc03a0b2,sha256:c4178023dc03a0b2e1f07964d6269ff70b069661a2bfe64b6353aea4870739f3,sha256:29dc6dc2c8cc95c2d0d04eeb9c9f0a0ed9afbb7d9546bb23f673e9d62eab8d08,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t07-e9f54bc97516,b08c3-t07,b08c3,cand-b08c3-t07-e9f54bc975166f69,sha256:e9f54bc975166f69872e77fa5a1483db0898630191f205f5e7c2ef0522f460c5,sha256:3c10689e1168f67a1c4ec24318a26e4856dc917418f2d75543e5dc5a6192b8f6,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t08-bc75fffee879,b08c3-t08,b08c3,cand-b08c3-t08-bc75fffee8795edb,sha256:bc75fffee8795edbca24a011c6651f49bacee2ad9a4df9a81001fd399ed95771,sha256:e6a84ee06d6744167a9de8ffc86c8628c0c9f11e3563c918d00f5c1438cb448f,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t09-8598aaf20271,b08c3-t09,b08c3,cand-b08c3-t09-8598aaf202713b9c,sha256:8598aaf202713b9cbe511c76d3120476d21104617e8396adcb9e885240679e38,sha256:a04bde618e22c00208ca4e7252a16ea3566c8f28613df8b07d62f6eaca4cee00,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t10-cacededddf29,b08c3-t10,b08c3,cand-b08c3-t10-cacededddf294a01,sha256:cacededddf294a0113ab750e287a26d7f1633f3794d045e3a41fb39935e1da96,sha256:2f03ba944695036c9c4e768d2f06f62efc26a0764fbbad4b53abc04d6b7f5c96,20,false,,,,,0,0,,,,,,,,,,pending,
review-b08c3-t11-a60b293491c0,b08c3-t11,b08c3,cand-b08c3-t11-a60b293491c0db08,sha256:a60b293491c0db08289805bf6005db88e8e0f0a7bd9575e6c9afb7d4116a2201,sha256:1ffc8cd51098d7d1d441e6ae97420f0ea5ce93bbd1acb20bcdc2a2d12a0a4626,20,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t00-ab79f185959c,b09c3-t00,b09c3,cand-b09c3-t00-ab79f185959c4771,sha256:ab79f185959c4771a0ec61d9d1179926980bd57e1e6b3f68c8245e9f461e7a8f,sha256:eb7575fb6918bb21a2e31f325192a2baa3b8110c570250d8b2b8baeef50221c5,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t01-eb5fb154e331,b09c3-t01,b09c3,cand-b09c3-t01-eb5fb154e331e996,sha256:eb5fb154e331e99643d0692eec4a347c3042cea55a61c38c0f98ac2dcce74d49,sha256:317a88c93ef1e5d7c3d27050b2c23a4bd3a03a5d15c2f6f16f7a20101fc18002,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t02-5dcf09b7b33f,b09c3-t02,b09c3,cand-b09c3-t02-5dcf09b7b33f85d0,sha256:5dcf09b7b33f85d03169456e9b78dfe90adb714bd86f7661ca492c40c9e9ce02,sha256:a92f0583172fda881e7b7589c493971becc9732c9f502a5f7d6caa44e59f1d19,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t03-0ed045abb767,b09c3-t03,b09c3,cand-b09c3-t03-0ed045abb76750e4,sha256:0ed045abb76750e4931be8f59762bff5e021b022c0f1f4e13cd311dfb1290f8e,sha256:0d4a61b459fcd111e9289060b59217a71afe82dc59ceb61b2bcd41784a4bef68,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t04-c66cc315442f,b09c3-t04,b09c3,cand-b09c3-t04-c66cc315442fbe10,sha256:c66cc315442fbe1048b23f2c7bc1a7150e616097035b7b6672a462d74fc54336,sha256:f750b98434d226ed6610d519540946d57db0d8e3159b0ad003541ef6b8da3ead,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t05-881a1dff33e7,b09c3-t05,b09c3,cand-b09c3-t05-881a1dff33e77a27,sha256:881a1dff33e77a2778f102bd6696e1cf7517913576bd0f41b5fde995991f2efb,sha256:af461468f24e91209fff856ca5453ac813e541c8536c1c4229efbf1faf9a1930,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t06-3cc22db1203b,b09c3-t06,b09c3,cand-b09c3-t06-3cc22db1203b9452,sha256:3cc22db1203b9452d0a9b7f018c5e9b9ad418b343c1f50016ff3935cc2fd658d,sha256:9f9ae119dab23c5aa1e77e3d3fb4cf9155ed47cb1747a9355aaa778d855cb833,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t07-96ee705f1d23,b09c3-t07,b09c3,cand-b09c3-t07-96ee705f1d236465,sha256:96ee705f1d2364658914cc21d55556bdc92f18bb3f17414efb6d9e112899572d,sha256:6fb17388f1208fcc2506d0376930897a64bceb4751682288bfebca257f74f8d9,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t08-6a271ef9dc1d,b09c3-t08,b09c3,cand-b09c3-t08-6a271ef9dc1d98fb,sha256:6a271ef9dc1d98fbe0878aa34cd71d3ba4499eadf5ff4da07335c8efc828c107,sha256:6168d2f8bb6279dede4c449388507f66484d5cad126b5ff67acd34939ccad768,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t09-4431bef6602f,b09c3-t09,b09c3,cand-b09c3-t09-4431bef6602f28e7,sha256:4431bef6602f28e75cd3498d83761e2b6e29bfe5b5bd925bbfc50f011c376f4e,sha256:c01677224a1a3e3085bd058c91001ec3a75a381252a467058d1a924045a3b0d7,21,false,,,,,0,0,,,,,,,,,,pending,
review-b09c3-t10-ad934675a14d,b09c3-t10,b09c3,cand-b09c3-t10-ad934675a14dcd98,sha256:ad934675a14dcd98598a23549edf6038ed0bda5522e24bb5843380d6ac9f69c6,sha256:06764340526a1d91bdfb99c03567fc7163427cde163cfac8ce40b7e397dd4fca,21,false,,,,,0,0,,,,,,,,,,pending,
